MPN	SE_MAN_NAME	MFG	CS_STATUS	SCRUB_STATUS	SCRUBBING_STANDARD_COMMENT	SCRUB_URL_COMMENT_ONLINE	SCRUB_URL_COMMENT_FILE_PATH	SCRUB_DS	SCRUB_DS_FILE_PATH	PRODUCT_URL PAGE	TAX_PATH	SE_PART	SE_SUPPLIER	SCRUBBING_ADDITIONAL_COMMENT	CUSTOMER_DESCRIPTION	SCRUB_DS_SOURCE	SCRUB_DS_FILE_TYPE	SCRUB_URL_COMMENT_SOURCE	SCRUB_URL_COMMENT_FILE_TYPE	SOURCING_TASKS_NAME	TRIGGER_Name	SCRUBBING_TASK
(IRF523)	STMicroelectronics	ST MICROELECTRONICS	Direct Match Corrected supplier	Direct Match Corrected supplier								IRF523	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(IRF523)	Samsung Electronics	SAMSUNG	Direct Match Corrected supplier	Direct Match Corrected supplier								IRF523	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(IRFP440)	Samsung Electronics	SAMSUNG	Direct Match Corrected supplier	Direct Match Corrected supplier								IRFP440	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(IRFP440)	Amphenol Communications Solutions	FCI COMPONENT	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(IRFP440R)	"L3Harris Technologies, Inc"	HARRIS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(IRFZ34)	Texas Instruments	NATIONAL	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(J202)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								J202	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(J232)	Vishay	SILICONIX	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(J232)	Allegro MicroSystems	ALLEGRO MICROSYSTEMS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(KBP02M)	Motorola Mobility LLC	GENERAL INSTRUMENT	Direct Match Corrected supplier	Direct Match Corrected supplier								KBP02M	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(KST2907A)	Samsung Electronics	SAMSUNG	Direct Match Corrected supplier	Direct Match Corrected supplier								KST2907A	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LF356BN)	"Motorola Solutions, Inc"	MOTOROLA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LF412ACN)	onsemi	FAIRCHILD	Direct Match Corrected supplier	Direct Match Corrected supplier								LF412ACN	Texas Instruments	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LF412ACN/NOPB)	Analog Devices	LINEAR TECHNOLOGY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LHI 807TC G10)	PerkinElmer	PERKIN ELMER FLUID SC	Direct Match Corrected supplier	Direct Match Corrected supplier								LHI 807TCG10	Excelitas Technologies Corp	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LHI 807TC G10)	0	EG&G HEIMANN	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LL4148-7)	TDK-Micronas GmbH	MICRONAS INTERMETALL	Direct Match Corrected supplier	Direct Match Corrected supplier								LL4148-7	Vishay	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LM299H)	Analog Devices	LINEAR TECHNOLOGY	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LM301AH)	onsemi	FAIRCHILD	Direct Match Corrected supplier	Direct Match Corrected supplier								LM301AH	Analog Devices	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LM302H)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								LM302H	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LM320LZ-12)	Signetics	SIGNETICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LM340LAZ-12)	Signetics	SIGNETICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LM358J)	"Motorola Solutions, Inc"	MOTOROLA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LM393N)	Signetics	SIGNETICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(LM44D00)	IXYS	CLARE	Direct Match Corrected supplier	Direct Match Corrected supplier								LM44D00	Coto Technology	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(LTB)	Vishay	"SPRAGUE ELECTRIC CO, WORLD HQS"	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(M51C90X)	Siemens	SIEMENS	Direct Match Corrected supplier	Direct Match Corrected supplier								M51-C90X	TDK	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(M5F7805L)	Mitsubishi Electric	MITSUBISHI	Direct Match Corrected supplier	Direct Match Corrected supplier								M5F7805L	Renesas Electronics	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MA X 1K0000 T)	MICROPRECISION ELECTRONICS SA	WILBRECHT ELECTRONICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MA X 2K5000 T)	MICROPRECISION ELECTRONICS SA	WILBRECHT ELECTRONICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MA X 5K0000 T)	MICROPRECISION ELECTRONICS SA	WILBRECHT ELECTRONICS	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MBR140P)	"Motorola Solutions, Inc"	MOTOROLA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MC68HC11F1CFN3)	onsemi	MOTOROLA/ON-SEMI	Direct Match Corrected supplier	Direct Match Corrected supplier								MC68HC11F1CFN3	NXP Semiconductors	Reverse_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MDA-202)	"Motorola Solutions, Inc"	MOTOROLA	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(ME1)	MEI Fasteners LLC	MOLKENBUHR ENTERPRISES	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MM74HC00N)	ITT Inc	CANNON	Need Manual Scrubbing	Need Manual Scrubbing																(CS_daily_Scrubbing)	Need Manual Scrubbing	Scrubbing Machine
(MM74HC32N)	Texas Instruments	TI/NATIONAL SEMICONDUCTOR	Direct Match Corrected supplier	Direct Match Corrected supplier								MM74HC32N	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MM74HC4040N)	Texas Instruments	TI/NATIONAL SEMICONDUCTOR	Direct Match Corrected supplier	Direct Match Corrected supplier								MM74HC4040N	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MM74HC74AN)	Texas Instruments	TI/NATIONAL SEMICONDUCTOR	Direct Match Corrected supplier	Direct Match Corrected supplier								MM74HC74AN	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MM74HC74AN)	NXP Semiconductors	PHILLIPS	Direct Match Corrected supplier	Direct Match Corrected supplier								MM74HC74AN	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
(MMBD1503A)	Texas Instruments	NATIONAL	Direct Match Corrected supplier	Direct Match Corrected supplier								MMBD1503A	onsemi	Forward_Relation						(CS_daily_Scrubbing)	Direct Match Corrected supplier	Scrubbing Machine
